ts_code,trade_date,adj_factor
002394.SZ,20210322,4.538
002395.SZ,20210322,3.224
002396.SZ,20210322,3.238
002397.SZ,20210322,12.719
002398.SZ,20210322,6.17
002399.SZ,20210322,3.717
002400.SZ,20210322,18.468
002401.SZ,20210322,5.872
002402.SZ,20210322,12.081
002403.SZ,20210322,1.448
002404.SZ,20210322,4.966
002405.SZ,20210322,4.005
002406.SZ,20210322,3.8
002407.SZ,20210322,5.603
002408.SZ,20210322,6.162
002409.SZ,20210322,3.15
002410.SZ,20210322,12.636
002411.SZ,20210322,4.166
002412.SZ,20210322,7.347
002413.SZ,20210322,4.964
002414.SZ,20210322,5.411
002415.SZ,20210322,21.042
002416.SZ,20210322,2.773
002417.SZ,20210322,2.293
002418.SZ,20210322,4.997
002419.SZ,20210322,4.003
002421.SZ,20210322,17.944
002422.SZ,20210322,6.485
002423.SZ,20210322,1.021
002424.SZ,20210322,10.813
002425.SZ,20210322,4.415
002426.SZ,20210322,5.267
002427.SZ,20210322,2.049
002428.SZ,20210322,5.289
002429.SZ,20210322,8.958
002430.SZ,20210322,2.192
002431.SZ,20210322,9.844
002432.SZ,20210322,3.063
002433.SZ,20210322,4.21
002434.SZ,20210322,6.738
002435.SZ,20210322,4.236
002436.SZ,20210322,13.084
002437.SZ,20210322,15.848
002438.SZ,20210322,4.136
002439.SZ,20210322,8.213
002440.SZ,20210322,5.013
002441.SZ,20210322,4.669
002442.SZ,20210322,2.536
002443.SZ,20210322,3.679
002444.SZ,20210322,4.389
002445.SZ,20210322,7.212
002446.SZ,20210322,4.972
002447.SZ,20210322,18.403
002448.SZ,20210322,5.614
002449.SZ,20210322,3.02
002451.SZ,20210322,3.062
002452.SZ,20210322,5.573
002453.SZ,20210322,4.132
002454.SZ,20210322,2.867
002455.SZ,20210322,6.163
002456.SZ,20210322,20.444
002457.SZ,20210322,2.579
002458.SZ,20210322,8.29
002459.SZ,20210322,1.324
002460.SZ,20210322,9.572
002461.SZ,20210322,2.104
002462.SZ,20210322,1.667
002463.SZ,20210322,2.768
002464.SZ,20210322,3.798
002465.SZ,20210322,6.745
002466.SZ,20210322,7.754
002467.SZ,20210322,11.137
002468.SZ,20210322,2.242
002469.SZ,20210322,8.26
002470.SZ,20210322,4.269
002471.SZ,20210322,6.924
002472.SZ,20210322,5.137
002473.SZ,20210322,2.077
002474.SZ,20210322,6.253
002475.SZ,20210322,33.729
002476.SZ,20210322,5.236
002478.SZ,20210322,2.493
002479.SZ,20210322,3.88
002480.SZ,20210322,4.104
002481.SZ,20210322,18.411
002482.SZ,20210322,8.477
002483.SZ,20210322,3.142
002484.SZ,20210322,4.697
